0.002658,
0.002733,
0.002458,
0.002266,
0.005829,
0.002544,
0.002867,
0.002011,
0.001886,
0.001886,
0.001892,
0.002513,
0.001921,
0.002151,
0.002294,
0.001993,
0.001883,
0.001834,
0.001841,
0.001801,
0.002406,
0.001968,
0.001718,
0.001695,
0.001731,
0.001989,
0.001811,
0.001833,
0.001862,
0.001853,
0.001739,
0.001531,
0.001503,
0.001606,
0.001491,
0.001616,
0.001576,
0.001584,
0.001556,
0.001718,
0.001633,
0.001502,
0.001395,
0.001334,
0.00153,
0.001347,
0.001912,
0.001888,
0.002794,
0.001369,
0.001392,
0.001461,
0.001262,
0.001216,
0.00131,
0.001479,
0.003195,
0.001838,
0.001258,
0.001215,
0.001212,
0.00125,
0.001223,
0.001223,
0.004273,
0.001359,
0.001284,
0.001184,
0.005008,
0.00171,
