0.399774,
0.337881,
0.357046,
0.387949,
0.302577,
0.480368,
0.510882,
0.391766,
0.065431,
0.245275,
0.092379,
0.277905,
0.03837,
0.499982,
0.438233,
0.243191,
0.331633,
0.395282,
0.242022,
0.535579,
0.388567,
0.488936,
0.172885,
0.46126,
0.361725,
0.55166,
0.015525,
0.323736,
0.387656,
0.221533,
0.317544,
0.081228,
0.020811,
0.180726,
0.067406,
0.292436,
0.290294,
0.326318,
0.37977,
0.280071,
0.308234,
0.277124,
0.462053,
0.414789,
0.517523,
0.3296,
0.371986,
0.387002,
0.395087,
0.332884,
0.123038,
0.265121,
0.338699,
0.315097,
0.324122,
0.282606,
0.375206,
0.516161,
0.119044,
0.096627,
0.627632,
0.072613,
0.248444,
1.75045,
0.237662,
0.396958,
0.071885,
0.13276,
0.256549,
0.401115,
0.300636,
0.415927,
0.233724,
0.339416,
0.364434,
1.37066,
0.169672,
0.380597,
0.492858,
0.334743,
0.245786,
0.352919,
0.044074,
0.558244,
1.48729,
0.564909,
0.43634,
0.436507,
0.361443,
0.447274,
0.553492,
0.456351,
0.513219,
0.238667,
0.198956,
0.246947,
0.446457,
0.35783,
0.255071,
0.596706,
